Semester,Jenis,Program,Judul,Pembimbing
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Tekno-Ekonomi Pembangkit Listrik Tenaga Surya (PLTS) Atap On-Grid pada Gedung Workshop Depo Lebak Bulus PT MRT Jakarta,"Prof. Ir. Rinaldy Dalimi, M.Sc. Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Keandalan Jaringan Distribusi Tenaga Listrik Roy Billinton Test System (RBTS) Dengan Metode Section Technique Dan Evaluasi Rekonfigurasi Jaringan,"Prof. Ir. Rinaldy Dalimi, M.Sc. Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Optimisasi Waktu Tunggu Untuk Kendali Kereta Otomatis,"Naufan Raharya, S.T., M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Analisis Kinerja Network Autoscaling pada Apache CloudStack,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Pengujian dan Analisa Performansi Solar Charge Controller pada Sistem Pompa Air berbasis Energi Surya,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Dual Band Bandpass Filter pada Bandwidth yang Tetap dengan Variasi Frekuensi,"Prof. Ir. Gunawan Wibisono, M.Sc., Ph.D"
2024/2025-2,Skripsi,Teknik Komputer Reguler,Analisis dan Implementasi Gray Level Co-Occurence Matrix dan Convolutional Neural Network sebagai Klasifikasi Tanaman dan Gulma,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Kualitas Daya Untuk Optimalisasi Efisiensi Energi Pada PT XYZ,"Prof. Dr. Ir. Iwa Garniwa M. K., MT."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Tarif Battery Energy Storage System (BESS) sebagai Layanan Pendukung untuk Pengaturan Frekuensi Berdasarkan Prinsip Biaya Disetarakan,"Chairul Hudaya, Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Penentuan Tempat dan Kapasitas Optimal Static Var Compensator Untuk Memperbaiki Profil Tegangan Sistem Tenaga Listrik Skala Besar dengan Algoritma Cuckoo Search,"Ismi Rosyiana Fitri, S.T., Ph.D."
2024/2025-2,Skripsi,Teknik Biomedik,Pengembangan Model Klasifikasi Berbasis Machine Learning untuk Penyakit Kardiovaskular Pediatrik Menggunakan Sinyal Elektrokardiogram,"Mohammad Ikhsan, M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Biomedik,Analisis Performa Kombinasi Algoritma Object Tracking dan Object Detection pada Estimasi Jarak dan Kecepatan pada Pemain Sepakbola,"Mohammad Ikhsan, M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Flocking dan Penghindaran Tabrakan Sistem Multi-Agen menggunakan Algoritma Reinforcement Learning,"Naufan Raharya, S.T., M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Agen Virtual Percakapan Multimodal dengan Generasi Gestur Berbasis Large Language Model (LLM),"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Pengembangan Model Deep Learning dengan Metode Ensemble untuk Klasifikasi Objek Sampah,"Ajib Setyo Arifin, S.T., M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Desain Sistem Manajemen Energi Pada Smart Building Berbasis Multi Agent Deep Constrained Q- Learning,"Naufan Raharya, S.T., M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Biomedik,Pengembangan model klasifikasi emosi manusia menggunakan convolutional neural network,"Dr. Basari, S.T., M.Eng."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Sistem Deteksi Multi-Serangan pada Zeek Network Security Monitor Menggunakan Machine Learning,"Yan Maraden, S.T., M.T., M.Sc."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Pengaruh Sudut Kemiringan dan Variasi Beban terhadap Output Panel Surya di FTUI,"Prof. Dr. Ir. Iwa Garniwa M. K., MT."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Kelayakan Tekno Ekonomi Perencanaan Pembangunan Pembangkit Listrik Tenaga Surya (PLTS) Atap On-Grid Untuk Efisiensi Energi Listrik di Universitas Indonesia,"Prof. Dr. Ir. Iwa Garniwa M. K., MT."
2024/2025-2,Skripsi,Teknik Biomedik,Studi Numerik dan Eksperimental terhadap Teknologi Lab-On-Chip Mikrofluidik Spiral untuk Optimasi Kondisi Isolasi Circulating Tumour Cells Kanker Kolorektal,"dr. Puspita Anggraini Katili, M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Studi Kelayakan Repurposing PLTU Menjadi Pembangkit Berbasis Surya dan Biomassa dengan Pendekatan Cost-Benefit Analysis dan Analisis Rancangan Sistem Kelistrikan,"Faiz Husnayain, S.T., M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Studi Kelayakan Penerapan Rumah Hibrid AC/DC di Indonesia Menggunakan Perangkat Lunak Simulink,"Faiz Husnayain, S.T., M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Pengujian Karakteristik Kinerja Tabung Listrik (TaLis) Untuk Motor Listrik Konversi,"Chairul Hudaya, Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Evaluasi Performa PLTS Atap Eksisting On-Grid 101 kWp di Gedung I-CELL Fakultas Teknik Universitas Indonesia,"Faiz Husnayain, S.T., M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Simulasi dan Analisis Sistem Reduksi Dispersi Berbasis Hybrid LMS-Kalman pada Subsea Optical Network,"Prof. Dr. Ir. Muhamad Asvial, MEng."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Transunet Untuk Segmentasi Lahan Sawah Per Persil Pada Citra Satelit Pleiades,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan dan Evaluasi Model Prediksi Sekuensial pada Industri Pengolahan Feronikel Berbasis Machine Learning,"Dr. Eng. Mia Rizkinia, S.T, M.T."
2024/2025-2,Skripsi,Teknik Biomedik,Sensor Elektrokimia Nikotin Berbasis Elektroda Pasta Karbon Modifikasi Multi-Walled Carbon Nanotube dan Seng Oksida,"Siti Fauziyah Rahman, S.T., M.Eng., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Proyeksi Dekarbonisasi dan Limbah Baterai dari Transisi Moda Transportasi EV dalam Upaya Mencapai NZE 2060 berdasarkan Model Prediksi Hybrid ARIMA-GRU,"Chairul Hudaya, Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Pengujian Performa Multi-Siklus dan Prediksi Degradasi Baterai Pack Tabung Listrik Menggunakan Model Gated Recurrent Unit (GRU),"Chairul Hudaya, Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Analisis Perbandingan Kinerja Baterai Li-Ion Daur Guna Tesla Tipe 18650 NMC dengan Baterai LiFePO4 32650 pada Sistem Lampu Jalan Bertenaga Surya,"Chairul Hudaya, Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Desain Adaptive H-Infinity Filter untuk Estimasi State of Charge Baterai Ion Litium dengan Equivalent Circuit Model Orde Tiga,"Dr. Ir. Aries Subiantoro, M. SEE"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Evaluasi Kinerja Pengendali PID untuk Oven Pengasapan Ikan Skala Industri,"Dr. Abdul Halim, M.Eng."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Perancangan Sistem Pendeteksi Kebohongan Pada Wawancara Warga Negara Indonesia Berbasis Machine Learning dengan Multi-Feature Facial Analysis untuk Aplikasi Imigrasi,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Chatbot AI berbasis Agentic Retrieval-Augmented Generation (RAG) untuk Analisis Pra dan Pasca Investasi Cryptocurrency,"Prof. Dr. Ir. Riri Fitri Sari, MM. MSc."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Aplikasi Komunikasi Pasien Tuli dengan Dokter Berbasis Pengklasifikasi Video Gerakan Tangan,"Prof. Dr. Ir. Riri Fitri Sari, MM. MSc."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Perancangan Sistem Manajemen Energi Berbasis Model Predictive Control Kereta Hibrida,"Dr. Ir. Aries Subiantoro, M. SEE"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Optimasi Biaya Operasional Stasiun Pengisian Kendaraan Listrik berbasis Rolling Optimization dengan kriteria Max-Min Fairness,"Dr. Ir. Aries Subiantoro, M. SEE"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Identifikasi Serangan Mirai Botnet Menggunakan Metode Soft Voting dan Stacking,"Prof. Ir. Gunawan Wibisono, M.Sc., Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Desain dan Fabrikasi Plate Fin Heat Sink dengan Resistansi Termal Rendah untuk Modul Termoelektrik Pada Sistem Hidroponik,"Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Desain Pengendali Multi-AUV Leaderless-Flocking berbasis Distributed Model Predictive Control pada Jaringan dengan Switching Topology,"Dr. Ir. Aries Subiantoro, M. SEE"
2024/2025-2,Skripsi,Teknik Elektro Reguler,"Perancangan, Fabrikasi, dan Pengujian Solar Charge Controller berbasis MPPT","Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Kinerja Protokol SRT Dengan ARQ dan RaptorQ Pada Video Streaming di Jaringan Unguaranteed,"Prof. Ir. Gunawan Wibisono, M.Sc., Ph.D"
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Multimodal untuk Emosi Rekognisi dari Ekspresi Wajah dan Intonasi Suara dengan Pendekatan Late Fusion,"Muhammad Firdaus Syawaludin Lubis, S.T., MT., Ph.D."
2024/2025-2,Skripsi,Teknik Biomedik,Pengembangan Sistem Interpretasi Otomatis Elektrokardiogram (EKG) Berbasis Model Visi-Bahasa Bootstrapping Language-Image Pre-Training (BLIP),"Mohammad Ikhsan, M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Penerbitan dan Verifikasi Ijazah dengan NFT pada Blockchain berbasis Ethereum,"Prof. Dr. Ir. Riri Fitri Sari, MM. MSc."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Optimasi Konsentrasi SnCl2 Dan Larutan Ethanol Dalam SnO2 Sebagai Material Electron Transport Layer Pada Sel Surya Perovskite,"Prof. Dr. Ir. Nji Raden Poespawati, MT., IPU."
2024/2025-2,Skripsi,Teknik Elektro Internasional,Analisis Tekno-Ekonomi Integrasi Sistem Tenaga Surya Atap On-Grid di Apartemen Kebagusan City,"Aji Nur Widyanto, ST., MT."
2024/2025-2,Skripsi,Teknik Elektro Internasional,Design Analysis of an On-Grid Solar Power System for S and GK Building Faculty of Engineering University of Indonesia,"Aji Nur Widyanto, ST., MT."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Analisis Pengaruh Metode Doctor Blade Pada Perovskite Solar Cell,"Prof. Dr. Ir. Nji Raden Poespawati, MT., IPU."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Klasifikasi Stunting Menggunakan EfficientNetB0 dengan Ensemble Learning pada Anak Pengidap Ventricular Septal Defect Perimembranous dan DCSA Berbasis Citra Ekokardiografi,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Sistem Otomasi Proses Sintesis Flash Graphene dengan Konfigurasi Flash Chamber Ganda,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Internasional,Perancangan Switch Single Pole Double Throw (SPDT) Linearitas Tinggi dan Insertion Loss Rendah Menggunakan Teknologi CMOS 90-nm untuk Ultrawide Band,"Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Elektro Internasional,"RANCANG BANGUN POWER AMPLIFIER CLASS-J FREKUENSI 4,9 GHz – 7,2 GHz UNTUK APLIKASI Wi-Fi 7","Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Biomedik,Desain Sistem Pengiriman Data Urine Analyzer Berbasis Klien-Server Menggunakan Edge Device,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Evaluasi Sistem Proteksi Petir Eksternal pada Gedung Perkantoran di Kebayoran Baru,"Aji Nur Widyanto, ST., MT."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun dan Analisa Output Capacitorless Amplifier Kelas AB dengan Arsitektur Tiga Tahap,"Prof. Ir. Purnomo Sidi Priambodo, M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Desain Symmetrical Single Pole Double Throw (SPDT) Switch Berbasis Teknologi CMOS 90-nm Dengan Isolasi Tinggi Untuk Aplikasi Wi-Fi 7,"Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,"Desain 4,9–7,2 GHz Wideband Power Amplifier Kelas E dengan Dual-Switching Transistor Berbasis CMOS 90-nm untuk Komunikasi Nirkabel","Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Desain Wideband Low Noise Amplifier pada Frekuensi 4.9-7.2 Ghz dengan Metode Input-Referred Noise Reduction dan Noise Cancellation Menggunakan Teknologi CMOS 90-nm untuk Aplikasi Wi-Fi 7,"Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Evaluasi Sistem Proteksi Petir Eksternal pada Tangki Penyimpanan Gas di Wilayah Tanjung Sekong,"Aji Nur Widyanto, ST., MT."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Tekno - Ekonomi Implementasi Pembangkit Listrik Tenaga Surya (PLTS) On-Grid pada Atap Gedung Welding Plant 1 PT XYZ,"Aji Nur Widyanto, ST., MT."
2024/2025-2,Skripsi,Teknik Elektro Internasional,Evaluasi Efektivitas Sistem Proteksi Petir Eksternal pada Gedung Jamkrindo di Jakarta Pusat,"Aji Nur Widyanto, ST., MT."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Perancangan dan Perbandingan Implementasi Sistem Mit- igasi Serangan DDoS Terintegrasi pada Web Server Apache dan Nginx menggunakan Firewall Lokal dan Layanan CDN Cloudflar,"Yan Maraden, S.T., M.T., M.Sc."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Framework Command and Control Berbasis PowerShell dan Injeksi USB Digispark untuk Uji Penetrasi,"Yan Maraden, S.T., M.T., M.Sc."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengukuran Kesadaran Keamanan Siber: Studi Survei pada Pengikut Akun @Sondesix di X,"Yan Maraden, S.T., M.T., M.Sc."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Sistem Identifikasi Video Hasil Generasi Deepfake Berbasis Analisis Multimodal untuk Meningkatkan Integritas Informasi Audio-Visual,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2024/2025-2,Skripsi,Teknik Komputer Reguler,"Pengembangan Model Pendeteksi Apnea dan Pre-Apnea Berbasis Machine Learning dan Deep Learning dengan Fitur Short Time Fourier Transform, dan Seleksi Fitur mRMR","Dr. Prima Dewi Purnamasari, ST MT MSc"
2024/2025-2,Skripsi,Teknik Biomedik,Pengembangan Model Prediksi Hemoglobin Berbasis Sensor Photoplethysmography MAXM86161,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Deteksi Posisi Thruster AUV Tunggal di dalam Air menggunakan Sensor Accelerometer Fiber Bragg Grating 3 Sumbu: Studi Awal,"Prof.Dr.Ir. Retno Wigajatri Purnamaningsih, MT"
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Prediksi Keterlambatan dan Pembengkakan Biaya Proyek dengan Extreme Gradient Boosting dan Analisis Shapley Additive Explanations,"Dr. Prima Dewi Purnamasari, ST MT MSc"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Sistem Sensor Tekanan Hidrostatik Zona Epipelagik Menggunakan Fiber Bragg Grating dan Diafragma Stainless Steel 304,"Prof.Dr.Ir. Retno Wigajatri Purnamaningsih, MT"
2024/2025-2,Skripsi,Teknik Elektro Internasional,Desain dan Implementasi Perangkat Monitoring Hidroponik Menggunakan Komunikasi LoRaWAN dan Platform Berbasis Web Antares (Node-RED),"Taufiq Alif Kurniawan, MSc.Eng"
2024/2025-2,Skripsi,Teknik Biomedik,Pengembangan Oxygen Analyzer Berbasis IoT untuk Monitoring Konsentrasi Oksigen dan Flow Rate pada Konsentrator Oksigen,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Pelacakan Multi-Manusia Berbasis Aksi Berbahaya Menggunakan Metode Spasial-Temporal pada Citra Kamera,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Penggunaan 3D ResNet dan Penurunan ADC Samples dalam Upaya Peningkatan Performa Klasifikasi Makhluk Hidup Berdasarkan Data Gelombang Milimeter,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Antena MIMO Tiga Frekuensi untuk Aplikasi Jaringan 5G di Indonesia,"Prof. Dr. Ir. Fitri Yuli Zulkifli, ST., MSc"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Teknik Spray Coating Sebagai Metode Deposisi Lapisan TiO2 Mesoporous Pada Fabrikasi Sel Surya Perovskite,"Prof. Dr. Ir. Nji Raden Poespawati, MT., IPU."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun Dan Evaluasi Chatbot Berbasis Large Language Model Dengan Retrieval-Augmented Generation Sebagai Solusi Informasi Akademik,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun dan Evaluasi Prosedur Analisis Malware pada Jaringan Honeypot Berbasis T-POT,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Antena Mikrostrip MIMO 2x2 dengan DGS Berbentuk T dan E untuk Aplikasi Wi-Fi 7,"Prof. Dr. Ir. Fitri Yuli Zulkifli, ST., MSc"
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Model Hybrid Spatial Attention U-Net dan DeepLabv3+ untuk Segmentasi Area Bekas Terbakar dengan Data Sentinel-1 dan Sentinel-2,"Prof. Dr. Ir. Dodi Sudiana, M.Eng."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Optimalisasi Rasio Dispersi Pasta TiO? dan Ethanol pada Proses Spray Coating Electron Transport Layer Mesoporous untuk Sel Surya Perovskite,"Prof. Dr. Ir. Nji Raden Poespawati, MT., IPU."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Perancangan Teknologi 3D Food Printing untuk Pencetakan Bioink Tempe,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Peningkatan Akurasi Pengukuran Berat Nasi pada Centong Pintar dengan Kompensasi Sudut dan Machine Learning,"Tomy Abuzairi,"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Prediksi Jenis Kerusakan Pada Unit Vakum Sistem Pengisian LLC Manufaktur Mobil Menggunakan Algoritma XGBoost dan Metode SHAP Untuk Interpretasi Hasil,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Perencanaan Penambahan Generator pada Kilang Minyak PT X Berdasarkan Indeks Loss of Load Probability dan Evaluasi Keuntungan Ekonomis,"Dr.-Ing. Budi Sudiarto, S.T., M.T."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Upaya Pengurangan ketergantungan Daya Impor pada Sistem Kelistrikan PLTU XYZ,"Dr.-Ing. Budi Sudiarto, S.T., M.T."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Pengaturan Nilai SAIDI dengan Penetrasi Jumlah Remote Switching Device secara Optimal dalam Implementasi Teknologi Feeder Automation pada Sistem Distribusi Tegangan Menengah,"Dr.-Ing. Budi Sudiarto, S.T., M.T."
2024/2025-2,Skripsi,Teknik Elektro Internasional,Evaluasi Instalasi Kelistrikan dan Kualitas Daya Gardu Distribusi Tegangan Menengah 5 Universitas Indonesia,"Dr.-Ing. Budi Sudiarto, S.T., M.T."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Rancang Bangun Konverter DC-DC Isolated Self-Oscillating Switched-Mode Power Supply dengan Sistem Proteksi Berbasis Mikrokontroler,"Prof. Dr. Ir. Feri Yusivar, M.Eng."
2024/2025-2,Skripsi,Teknik Komputer Paralel,Pengembangan Metode Deteksi Kawasan Pertambangan Ilegal menggunakan Data Multispektral-Multitemporal Satelit Sentinel-1 dan Sentinel-2 Berbasis Deep Learning,"Prof. Dr. Ir. Dodi Sudiana, M.Eng."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Pengembangan Metode Deteksi Penyakit Diabetik Retinopati Pada Citra Fundus Berbasis Deep Learning Menggunakan Arsitektur Vision Transformer,"Prof. Dr. Ir. Dodi Sudiana, M.Eng."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun dan Evaluasi Model Rekomendasi Pelatihan Karyawan Menggunakan Pendekatan Hybrid Learning-to-Rank dari Model Autoencoder dan Neural Collaborative Filtering,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Komputer Paralel,Rancang Bangun Sistem Monitoring dan Prediksi Penghematan Energi pada Access Point di Lingkungan Kampus Menggunakan XGBoost,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Optimisasi Kontrol Lampu Lalu Lintas Adaptif berbasis Multi-Agent Deep Reinforcement Learning,"Naufan Raharya, S.T., M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Optimisasi Konsumsi Energi pada Penjadwalan Flexible Job-Shop di Industri Manufaktur dengan Multi-Agent Reinforcement Learning,"Naufan Raharya, S.T., M.T., Ph.D."
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun dan Evaluasi Model Deteksi Anomali pada Data Multivariat Time Series Menggunakan Attention-LSTM Wasserstein Gan dengan Deep Convolutional,"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Komputer Reguler,Rancang Bangun dan Evaluasi Model Prediksi Remaining Useful Life dan Klasifikasi Health Status pada Mesin Turbofan Menggunakan Multitask Learning dengan Arsitektur Multi-Gate Mixture-of-Experts (MMoE),"I Gde Dharma Nugraha, S.T., M.T., Ph.D"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Analisis Pengaruh TEOS Sebagai Antisolvent dan Trap Passivator pada Fabrikasi Sel Surya Perovskite Monolitik,"Prof. Dr. Ir. Nji Raden Poespawati, MT., IPU."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Perancangan Simulator untuk Analisis Kinerja Contention-Based Access Control 5G,"Dr. Ruki Harwahyu, ST. MT. MSc."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Pengembangan Identifikasi Perilaku Berbahaya dan Pelacakannya Menggunakan Estimasi Pose Berbasis CItra Termal Spasio-Temporal,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2024/2025-2,Skripsi,Teknik Elektro Reguler,Prediksi Jumlah Kejadian Gempa di Bali dan Jawa Tengah-Timur Menggunakan Hibrida CNN-LSTM Berbasis Seleksi Fitur Seismik,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2024/2025-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun dan Karakterisasi Rangkaian Solid State Power Amplifier OCL Dengan Metode Simulasi dan Uji Perangkat Keras.,"Prof. Ir. Purnomo Sidi Priambodo, M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Paralel,Rancang Bangun Solid State Amplifier OCL Kelas AB dengan Analisis Gain dan Kualitas Sinyal Output,"Prof. Ir. Purnomo Sidi Priambodo, M.Sc., Ph.D."
2024/2025-2,Skripsi,Teknik Elektro Reguler,Studi Performansi dan Komparasi Metode 2D Convolutional Neural Network dan 3D Convolutional Neural Network sebagai Metode Pengklasifikasi Makhluk Hidup Berbasis Data Radar mmWave 77 GHz,"Prof. Dr. Benyamin Kusumo Putro, M. Eng"
2024/2025-2,Skripsi,Teknik Biomedik,RANCANG BANGUN SISTEM ELECTRICAL IMPEDANCE TOMOGRAPHY (EIT) BERBASIS MIKROKONTROLER STM32 DAN ALGORITMA REKONSTRUKSI CITRA pyEIT,"Dr. Basari, S.T., M.Eng."
